time,_id,close,high,low,open,volume
2023-01-03 06:25:00,1672727100,16751.5,16751.5,16736.5,16736.5,3689
2023-01-03 06:30:00,1672727400,16744.5,16767.5,16742.0,16753.5,10999
2023-01-03 06:35:00,1672727700,16727.5,16745.5,16727.0,16744.5,8118
2023-01-03 06:40:00,1672728000,16730.0,16730.5,16727.5,16728.0,8896
2023-01-03 06:45:00,1672728300,16722.0,16728.5,16722.0,16728.5,1701
2023-01-03 06:50:00,1672728600,16721.0,16724.0,16721.0,16723.0,5478
2023-01-03 06:55:00,1672728900,16718.5,16724.5,16718.5,16721.0,2645
2023-01-03 07:00:00,1672729200,16715.5,16720.5,16714.0,16720.5,2672
2023-01-03 07:05:00,1672729500,16719.0,16719.0,16714.5,16715.5,5621
2023-01-03 07:10:00,1672729800,16718.0,16719.0,16716.5,16716.5,5146
2023-01-03 07:15:00,1672730100,16716.5,16724.0,16716.5,16719.0,4657
2023-01-03 07:20:00,1672730400,16706.0,16717.0,16706.0,16714.0,10030
2023-01-03 07:25:00,1672730700,16708.5,16711.0,16706.5,16707.5,6631
2023-01-03 07:30:00,1672731000,16700.5,16707.5,16700.5,16707.5,5840
2023-01-03 07:35:00,1672731300,16706.0,16706.5,16702.0,16702.0,2286
2023-01-03 07:40:00,1672731600,16714.5,16715.0,16706.5,16707.5,5765
2023-01-03 07:45:00,1672731900,16720.5,16723.0,16715.5,16717.0,9450
2023-01-03 07:50:00,1672732200,16722.5,16726.0,16719.5,16721.5,3010
2023-01-03 07:55:00,1672732500,16722.5,16722.5,16720.0,16720.0,4464
2023-01-03 08:00:00,1672732800,16726.5,16728.5,16722.5,16722.5,8081
2023-01-03 08:05:00,1672733100,16715.5,16726.5,16715.0,16724.5,12871
2023-01-03 08:10:00,1672733400,16712.5,16716.5,16712.5,16716.5,6646
2023-01-03 08:15:00,1672733700,16711.5,16713.5,16705.0,16711.5,10153
2023-01-03 08:20:00,1672734000,16706.5,16715.5,16706.5,16712.5,3612
2023-01-03 08:25:00,1672734300,16711.5,16711.5,16704.5,16706.5,6506
2023-01-03 08:30:00,1672734600,16708.5,16714.5,16708.5,16712.5,7240
2023-01-03 08:35:00,1672734900,16704.5,16710.0,16704.5,16707.0,4434
2023-01-03 08:40:00,1672735200,16693.5,16706.0,16691.5,16706.0,12217
2023-01-03 08:45:00,1672735500,16696.0,16703.5,16693.5,16693.5,6654
2023-01-03 08:50:00,1672735800,16700.0,16700.0,16698.5,16698.5,1724
2023-01-03 08:55:00,1672736100,16712.0,16712.5,16697.5,16698.0,9089
2023-01-03 09:00:00,1672736400,16718.0,16718.0,16709.5,16711.0,8225
2023-01-03 09:05:00,1672736700,16715.0,16719.5,16712.0,16718.0,3003
2023-01-03 09:10:00,1672737000,16721.5,16721.5,16715.0,16715.0,4695
2023-01-03 09:15:00,1672737300,16721.5,16728.0,16721.5,16721.5,9411
2023-01-03 09:20:00,1672737600,16728.5,16728.5,16721.5,16721.5,3221
2023-01-03 09:25:00,1672737900,16718.0,16726.0,16717.0,16726.0,4013
2023-01-03 09:30:00,1672738200,16735.0,16739.0,16719.5,16719.5,4796
2023-01-03 09:35:00,1672738500,16731.0,16735.0,16729.5,16735.0,5922
2023-01-03 09:40:00,1672738800,16738.5,16742.5,16731.0,16731.0,10533
2023-01-03 09:45:00,1672739100,16738.0,16742.0,16736.5,16738.0,4384
2023-01-03 09:50:00,1672739400,16741.5,16742.5,16738.5,16739.0,7279
2023-01-03 09:55:00,1672739700,16732.5,16749.5,16728.5,16741.5,5964
2023-01-03 10:00:00,1672740000,16735.0,16741.5,16732.0,16732.0,5845
2023-01-03 10:05:00,1672740300,16732.0,16735.5,16732.0,16732.0,3451
2023-01-03 10:10:00,1672740600,16727.0,16733.5,16727.0,16733.5,8240
2023-01-03 10:15:00,1672740900,16730.0,16730.5,16726.5,16726.5,4130
2023-01-03 10:20:00,1672741200,16729.5,16731.0,16725.0,16730.0,3746
2023-01-03 10:25:00,1672741500,16729.5,16731.5,16728.0,16728.0,2174
2023-01-03 10:30:00,1672741800,16728.0,16732.0,16726.0,16731.5,2349
2023-01-03 10:35:00,1672742100,16732.5,16732.5,16725.5,16728.0,2682
2023-01-03 10:40:00,1672742400,16732.5,16733.5,16730.0,16733.0,4229
2023-01-03 10:45:00,1672742700,16733.0,16734.5,16730.0,16732.5,3366
2023-01-03 10:50:00,1672743000,16725.0,16731.0,16725.0,16731.0,2785
2023-01-03 10:55:00,1672743300,16719.0,16726.5,16715.5,16726.5,7221
2023-01-03 11:00:00,1672743600,16718.5,16722.5,16716.5,16719.0,4659
2023-01-03 11:05:00,1672743900,16717.0,16720.5,16716.5,16716.5,4750
2023-01-03 11:10:00,1672744200,16720.0,16722.5,16717.0,16717.0,5788
2023-01-03 11:15:00,1672744500,16718.0,16721.5,16718.0,16721.5,2278
2023-01-03 11:20:00,1672744800,16718.0,16718.0,16718.0,16718.0,2126
2023-01-03 11:25:00,1672745100,16717.0,16719.0,16716.5,16716.5,4996
2023-01-03 11:30:00,1672745400,16729.0,16729.5,16719.5,16719.5,7469
2023-01-03 11:35:00,1672745700,16727.5,16729.5,16727.5,16729.0,6035
2023-01-03 11:40:00,1672746000,16711.5,16727.5,16709.5,16727.5,9380
2023-01-03 11:45:00,1672746300,16715.5,16717.5,16709.5,16709.5,10594
2023-01-03 11:50:00,1672746600,16717.5,16719.5,16714.5,16715.0,6013
2023-01-03 11:55:00,1672746900,16713.5,16720.0,16711.5,16719.0,7919
2023-01-03 12:00:00,1672747200,16713.0,16715.0,16711.0,16713.5,4375
2023-01-03 12:05:00,1672747500,16716.0,16716.5,16713.5,16714.5,3533
2023-01-03 12:10:00,1672747800,16711.5,16715.5,16709.0,16714.5,4624
2023-01-03 12:15:00,1672748100,16707.5,16712.5,16707.5,16712.5,4401
2023-01-03 12:20:00,1672748400,16718.5,16720.0,16703.5,16707.5,7613
2023-01-03 12:25:00,1672748700,16713.0,16720.0,16713.0,16720.0,3073
2023-01-03 12:30:00,1672749000,16718.0,16718.5,16710.5,16712.0,5000
2023-01-03 12:35:00,1672749300,16710.5,16718.0,16710.5,16715.5,2485
2023-01-03 12:40:00,1672749600,16717.0,16719.0,16712.0,16712.0,3122
2023-01-03 12:45:00,1672749900,16707.0,16717.0,16703.0,16715.5,4627
2023-01-03 12:50:00,1672750200,16698.5,16707.0,16696.0,16707.0,7920
2023-01-03 12:55:00,1672750500,16704.5,16704.5,16697.5,16699.0,3616
2023-01-03 13:00:00,1672750800,16714.0,16714.0,16703.0,16703.0,7396
2023-01-03 13:05:00,1672751100,16718.0,16726.0,16711.0,16714.0,6513
2023-01-03 13:10:00,1672751400,16714.5,16723.5,16714.5,16718.0,8106
2023-01-03 13:15:00,1672751700,16717.0,16720.0,16713.0,16714.0,3143
2023-01-03 13:20:00,1672752000,16721.0,16726.0,16716.5,16717.0,9972
2023-01-03 13:25:00,1672752300,16712.5,16720.5,16708.5,16720.5,4296
2023-01-03 13:30:00,1672752600,16711.0,16712.5,16710.0,16711.0,2987
2023-01-03 13:35:00,1672752900,16716.5,16716.5,16709.0,16711.5,3890
2023-01-03 13:40:00,1672753200,16717.5,16720.5,16715.0,16717.5,6251
2023-01-03 13:45:00,1672753500,16723.0,16723.0,16716.0,16718.0,5862
2023-01-03 13:50:00,1672753800,16719.5,16727.0,16718.5,16723.0,6229
2023-01-03 13:55:00,1672754100,16720.5,16722.5,16714.5,16719.5,4712
2023-01-03 14:00:00,1672754400,16717.5,16718.5,16715.5,16716.0,3368
2023-01-03 14:05:00,1672754700,16728.5,16731.5,16717.5,16717.5,4489
2023-01-03 14:10:00,1672755000,16736.0,16736.0,16726.0,16728.5,13461
2023-01-03 14:15:00,1672755300,16731.0,16736.0,16722.5,16736.0,4332
2023-01-03 14:20:00,1672755600,16727.5,16733.0,16725.0,16733.0,3723
2023-01-03 14:25:00,1672755900,16736.5,16737.0,16726.0,16727.5,7865
2023-01-03 14:30:00,1672756200,16746.5,16756.5,16722.5,16733.0,12357
2023-01-03 14:35:00,1672756500,16741.5,16751.0,16727.5,16746.0,4420
2023-01-03 14:40:00,1672756800,16742.0,16760.5,16738.5,16741.0,10312
2023-01-03 14:45:00,1672757100,16716.0,16755.0,16716.0,16745.0,10869
2023-01-03 14:50:00,1672757400,16697.5,16721.0,16675.0,16715.5,24537
2023-01-03 14:55:00,1672757700,16653.0,16698.0,16633.5,16694.5,15462
2023-01-03 15:00:00,1672758000,16657.5,16669.0,16647.5,16652.5,10044
2023-01-03 15:05:00,1672758300,16671.0,16675.0,16658.0,16659.0,5962
2023-01-03 15:10:00,1672758600,16654.5,16671.0,16643.5,16671.0,7027
2023-01-03 15:15:00,1672758900,16619.0,16663.0,16613.5,16651.5,18025
2023-01-03 15:20:00,1672759200,16639.5,16642.5,16619.5,16619.5,6968
2023-01-03 15:25:00,1672759500,16633.5,16649.0,16632.0,16643.5,4512
2023-01-03 15:30:00,1672759800,16624.5,16634.5,16612.0,16634.5,9094
2023-01-03 15:35:00,1672760100,16633.0,16637.5,16625.5,16625.5,5919
2023-01-03 15:40:00,1672760400,16646.0,16647.5,16632.0,16632.0,8133
2023-01-03 15:45:00,1672760700,16651.0,16654.0,16640.5,16645.0,3700
2023-01-03 15:50:00,1672761000,16652.0,16656.5,16644.5,16652.0,3821
2023-01-03 15:55:00,1672761300,16671.0,16671.0,16649.5,16651.5,18736
